date,coast,state,landings
2018-03-01,borneo,W.P. Labuan,2020
2018-04-01,west,Perlis,7459
2018-04-01,west,Kedah,12915
2018-04-01,west,Pulau Pinang,4587
2018-04-01,west,Perak,24677
2018-04-01,west,Selangor,11517
2018-04-01,west,Negeri Sembilan,60
2018-04-01,west,Melaka,164
2018-04-01,west,Johor,2633
2018-04-01,east,Kelantan,8421
2018-04-01,east,Terengganu,4642
2018-04-01,east,Pahang,12457
2018-04-01,east,Johor,2772
2018-04-01,borneo,Sarawak,18166
2018-04-01,borneo,Sabah,14627
2018-04-01,borneo,W.P. Labuan,2105
2018-05-01,west,Perlis,8225
2018-05-01,west,Kedah,12458
2018-05-01,west,Pulau Pinang,4171
2018-05-01,west,Perak,28427
2018-05-01,west,Selangor,11708
2018-05-01,west,Negeri Sembilan,52
2018-05-01,west,Melaka,133
2018-05-01,west,Johor,2710
2018-05-01,east,Kelantan,10158
2018-05-01,east,Terengganu,4160
2018-05-01,east,Pahang,10243
2018-05-01,east,Johor,3602
2018-05-01,borneo,Sarawak,16876
2018-05-01,borneo,Sabah,14293
2018-05-01,borneo,W.P. Labuan,2237
2018-06-01,west,Perlis,7628
2018-06-01,west,Kedah,12843
2018-06-01,west,Pulau Pinang,4232
2018-06-01,west,Perak,27733
2018-06-01,west,Selangor,11837
2018-06-01,west,Negeri Sembilan,55
2018-06-01,west,Melaka,137
2018-06-01,west,Johor,2465
2018-06-01,east,Kelantan,10940
2018-06-01,east,Terengganu,2821
2018-06-01,east,Pahang,11274
2018-06-01,east,Johor,4377
2018-06-01,borneo,Sarawak,15261
2018-06-01,borneo,Sabah,14760
2018-06-01,borneo,W.P. Labuan,2101
2018-07-01,west,Perlis,8763
2018-07-01,west,Kedah,13257
2018-07-01,west,Pulau Pinang,4912
2018-07-01,west,Perak,29234
2018-07-01,west,Selangor,12909
2018-07-01,west,Negeri Sembilan,53
2018-07-01,west,Melaka,159
2018-07-01,west,Johor,2643
2018-07-01,east,Kelantan,7936
2018-07-01,east,Terengganu,2869
2018-07-01,east,Pahang,11784
2018-07-01,east,Johor,3768
2018-07-01,borneo,Sarawak,17130
2018-07-01,borneo,Sabah,14436
2018-07-01,borneo,W.P. Labuan,2203
2018-08-01,west,Perlis,8329
2018-08-01,west,Kedah,12956
2018-08-01,west,Pulau Pinang,4839
2018-08-01,west,Perak,31648
2018-08-01,west,Selangor,12305
2018-08-01,west,Negeri Sembilan,56
2018-08-01,west,Melaka,178
2018-08-01,west,Johor,2552
2018-08-01,east,Kelantan,8907
2018-08-01,east,Terengganu,3300
2018-08-01,east,Pahang,11281
2018-08-01,east,Johor,3247
2018-08-01,borneo,Sarawak,16751
2018-08-01,borneo,Sabah,14141
2018-08-01,borneo,W.P. Labuan,1533
2018-09-01,west,Perlis,7751
2018-09-01,west,Kedah,12755
2018-09-01,west,Pulau Pinang,4677
2018-09-01,west,Perak,29848
2018-09-01,west,Selangor,11830
2018-09-01,west,Negeri Sembilan,59
2018-09-01,west,Melaka,150
2018-09-01,west,Johor,2570
2018-09-01,east,Kelantan,9482
2018-09-01,east,Terengganu,4564
2018-09-01,east,Pahang,13217
2018-09-01,east,Johor,4233
2018-09-01,borneo,Sarawak,15374
2018-09-01,borneo,Sabah,14138
2018-09-01,borneo,W.P. Labuan,1575
2018-10-01,west,Perlis,8275
2018-10-01,west,Kedah,12894
2018-10-01,west,Pulau Pinang,4854
2018-10-01,west,Perak,27859
2018-10-01,west,Selangor,11388
2018-10-01,west,Negeri Sembilan,63
2018-10-01,west,Melaka,168
2018-10-01,west,Johor,2570
2018-10-01,east,Kelantan,10346
2018-10-01,east,Terengganu,5650
2018-10-01,east,Pahang,12711
2018-10-01,east,Johor,4448
2018-10-01,borneo,Sarawak,15495
2018-10-01,borneo,Sabah,13794
2018-10-01,borneo,W.P. Labuan,1369
2018-11-01,west,Perlis,8747
2018-11-01,west,Kedah,11658
2018-11-01,west,Pulau Pinang,4589
2018-11-01,west,Perak,27313
2018-11-01,west,Selangor,11895
2018-11-01,west,Negeri Sembilan,57
2018-11-01,west,Melaka,162
2018-11-01,west,Johor,2308
2018-11-01,east,Kelantan,6039
2018-11-01,east,Terengganu,3323
2018-11-01,east,Pahang,11407
2018-11-01,east,Johor,4280
2018-11-01,borneo,Sarawak,14352
2018-11-01,borneo,Sabah,12826
2018-11-01,borneo,W.P. Labuan,1284
2018-12-01,west,Perlis,9029
2018-12-01,west,Kedah,11662
2018-12-01,west,Pulau Pinang,4324
2018-12-01,west,Perak,24767
2018-12-01,west,Selangor,11505
2018-12-01,west,Negeri Sembilan,60
2018-12-01,west,Melaka,161
2018-12-01,west,Johor,2040
2018-12-01,east,Kelantan,4998
2018-12-01,east,Terengganu,1533
2018-12-01,east,Pahang,7650
2018-12-01,east,Johor,3692
2018-12-01,borneo,Sarawak,12960
2018-12-01,borneo,Sabah,11287
2018-12-01,borneo,W.P. Labuan,875
2019-01-01,west,Perlis,8759
2019-01-01,west,Kedah,12507
2019-01-01,west,Pulau Pinang,4866
2019-01-01,west,Perak,21040
2019-01-01,west,Selangor,12306
2019-01-01,west,Negeri Sembilan,53
2019-01-01,west,Melaka,133
2019-01-01,west,Johor,2354
2019-01-01,east,Kelantan,5489
2019-01-01,east,Terengganu,1598
2019-01-01,east,Pahang,6370
2019-01-01,east,Johor,1401
2019-01-01,borneo,Sarawak,10440
2019-01-01,borneo,Sabah,12153
2019-01-01,borneo,W.P. Labuan,993
2019-02-01,west,Perlis,9360
2019-02-01,west,Kedah,12886
2019-02-01,west,Pulau Pinang,3755
2019-02-01,west,Perak,21080
2019-02-01,west,Selangor,11903
2019-02-01,west,Negeri Sembilan,47
2019-02-01,west,Melaka,157
2019-02-01,west,Johor,2366
2019-02-01,east,Kelantan,5260
2019-02-01,east,Terengganu,2682
2019-02-01,east,Pahang,7771
2019-02-01,east,Johor,1603
2019-02-01,borneo,Sarawak,12394
2019-02-01,borneo,Sabah,12269
2019-02-01,borneo,W.P. Labuan,989
2019-03-01,west,Perlis,8257
2019-03-01,west,Kedah,13097
2019-03-01,west,Pulau Pinang,3764
2019-03-01,west,Perak,24904
2019-03-01,west,Selangor,13212
2019-03-01,west,Negeri Sembilan,53
2019-03-01,west,Melaka,151
2019-03-01,west,Johor,2420
2019-03-01,east,Kelantan,10039
2019-03-01,east,Terengganu,3967
2019-03-01,east,Pahang,8401
2019-03-01,east,Johor,3532
2019-03-01,borneo,Sarawak,18058
2019-03-01,borneo,Sabah,13893
2019-03-01,borneo,W.P. Labuan,1612
2019-04-01,west,Perlis,9729
2019-04-01,west,Kedah,13219
2019-04-01,west,Pulau Pinang,3701
2019-04-01,west,Perak,24062
2019-04-01,west,Selangor,13035
2019-04-01,west,Negeri Sembilan,55
2019-04-01,west,Melaka,163
2019-04-01,west,Johor,2586
2019-04-01,east,Kelantan,9824
2019-04-01,east,Terengganu,4547
2019-04-01,east,Pahang,8788
2019-04-01,east,Johor,4222
2019-04-01,borneo,Sarawak,17648
2019-04-01,borneo,Sabah,17875
2019-04-01,borneo,W.P. Labuan,2111
2019-05-01,west,Perlis,9401
2019-05-01,west,Kedah,13188
2019-05-01,west,Pulau Pinang,4125
2019-05-01,west,Perak,26121
2019-05-01,west,Selangor,12616
2019-05-01,west,Negeri Sembilan,52
2019-05-01,west,Melaka,146
2019-05-01,west,Johor,2393
2019-05-01,east,Kelantan,8841
2019-05-01,east,Terengganu,2967
2019-05-01,east,Pahang,9539
2019-05-01,east,Johor,3613
2019-05-01,borneo,Sarawak,15736
2019-05-01,borneo,Sabah,18804
2019-05-01,borneo,W.P. Labuan,2212
2019-06-01,west,Perlis,9556
2019-06-01,west,Kedah,13048
2019-06-01,west,Pulau Pinang,4141
2019-06-01,west,Perak,26425
2019-06-01,west,Selangor,13330
2019-06-01,west,Negeri Sembilan,60
2019-06-01,west,Melaka,150
2019-06-01,west,Johor,2257
2019-06-01,east,Kelantan,8054
2019-06-01,east,Terengganu,3161
2019-06-01,east,Pahang,8329
2019-06-01,east,Johor,4091
2019-06-01,borneo,Sarawak,15691
2019-06-01,borneo,Sabah,15379
2019-06-01,borneo,W.P. Labuan,2137
2019-07-01,west,Perlis,9696
