age,sex,date,state,ethnicity,population
0-4,overall_sex,2020-01-01,Johor,bumi_malay,195.9
5-9,overall_sex,2020-01-01,Johor,bumi_malay,197.4
10-14,overall_sex,2020-01-01,Johor,bumi_malay,197.6
15-19,overall_sex,2020-01-01,Johor,bumi_malay,199.2
20-24,overall_sex,2020-01-01,Johor,bumi_malay,193.8
25-29,overall_sex,2020-01-01,Johor,bumi_malay,173.8
30-34,overall_sex,2020-01-01,Johor,bumi_malay,176.2
35-39,overall_sex,2020-01-01,Johor,bumi_malay,167.4
40-44,overall_sex,2020-01-01,Johor,bumi_malay,128.7
45-49,overall_sex,2020-01-01,Johor,bumi_malay,116.3
50-54,overall_sex,2020-01-01,Johor,bumi_malay,107.8
55-59,overall_sex,2020-01-01,Johor,bumi_malay,98.4
60-64,overall_sex,2020-01-01,Johor,bumi_malay,80.5
65-69,overall_sex,2020-01-01,Johor,bumi_malay,50.1
70-74,overall_sex,2020-01-01,Johor,bumi_malay,34.2
75-79,overall_sex,2020-01-01,Johor,bumi_malay,19.1
80-84,overall_sex,2020-01-01,Johor,bumi_malay,11.6
85+,overall_sex,2020-01-01,Johor,bumi_malay,10.3
overall_age,male,2020-01-01,Johor,bumi_malay,1096.4
0-4,male,2020-01-01,Johor,bumi_malay,98.0
5-9,male,2020-01-01,Johor,bumi_malay,101.6
10-14,male,2020-01-01,Johor,bumi_malay,102.3
15-19,male,2020-01-01,Johor,bumi_malay,102.3
20-24,male,2020-01-01,Johor,bumi_malay,100.6
25-29,male,2020-01-01,Johor,bumi_malay,88.9
30-34,male,2020-01-01,Johor,bumi_malay,90.7
35-39,male,2020-01-01,Johor,bumi_malay,84.2
40-44,male,2020-01-01,Johor,bumi_malay,66.1
45-49,male,2020-01-01,Johor,bumi_malay,58.2
50-54,male,2020-01-01,Johor,bumi_malay,53.2
55-59,male,2020-01-01,Johor,bumi_malay,49.6
60-64,male,2020-01-01,Johor,bumi_malay,39.6
65-69,male,2020-01-01,Johor,bumi_malay,24.7
70-74,male,2020-01-01,Johor,bumi_malay,16.8
75-79,male,2020-01-01,Johor,bumi_malay,9.0
80-84,male,2020-01-01,Johor,bumi_malay,5.2
85+,male,2020-01-01,Johor,bumi_malay,5.3
overall_age,female,2020-01-01,Johor,bumi_malay,1062.0
0-4,female,2020-01-01,Johor,bumi_malay,97.9
5-9,female,2020-01-01,Johor,bumi_malay,95.7
10-14,female,2020-01-01,Johor,bumi_malay,95.3
15-19,female,2020-01-01,Johor,bumi_malay,96.8
20-24,female,2020-01-01,Johor,bumi_malay,93.2
25-29,female,2020-01-01,Johor,bumi_malay,84.9
30-34,female,2020-01-01,Johor,bumi_malay,85.5
35-39,female,2020-01-01,Johor,bumi_malay,83.2
40-44,female,2020-01-01,Johor,bumi_malay,62.6
45-49,female,2020-01-01,Johor,bumi_malay,58.1
50-54,female,2020-01-01,Johor,bumi_malay,54.6
55-59,female,2020-01-01,Johor,bumi_malay,48.8
60-64,female,2020-01-01,Johor,bumi_malay,40.9
65-69,female,2020-01-01,Johor,bumi_malay,25.4
70-74,female,2020-01-01,Johor,bumi_malay,17.5
75-79,female,2020-01-01,Johor,bumi_malay,10.1
80-84,female,2020-01-01,Johor,bumi_malay,6.4
85+,female,2020-01-01,Johor,bumi_malay,5.1
overall_age,overall_sex,2020-01-01,Kedah,bumi_malay,1624.8
0-4,overall_sex,2020-01-01,Kedah,bumi_malay,143.0
5-9,overall_sex,2020-01-01,Kedah,bumi_malay,142.6
10-14,overall_sex,2020-01-01,Kedah,bumi_malay,130.5
15-19,overall_sex,2020-01-01,Kedah,bumi_malay,151.3
20-24,overall_sex,2020-01-01,Kedah,bumi_malay,168.5
25-29,overall_sex,2020-01-01,Kedah,bumi_malay,144.5
30-34,overall_sex,2020-01-01,Kedah,bumi_malay,113.1
35-39,overall_sex,2020-01-01,Kedah,bumi_malay,100.5
40-44,overall_sex,2020-01-01,Kedah,bumi_malay,88.5
45-49,overall_sex,2020-01-01,Kedah,bumi_malay,87.3
50-54,overall_sex,2020-01-01,Kedah,bumi_malay,83.3
55-59,overall_sex,2020-01-01,Kedah,bumi_malay,77.4
60-64,overall_sex,2020-01-01,Kedah,bumi_malay,65.8
65-69,overall_sex,2020-01-01,Kedah,bumi_malay,51.7
70-74,overall_sex,2020-01-01,Kedah,bumi_malay,35.1
75-79,overall_sex,2020-01-01,Kedah,bumi_malay,19.8
80-84,overall_sex,2020-01-01,Kedah,bumi_malay,13.3
85+,overall_sex,2020-01-01,Kedah,bumi_malay,8.8
overall_age,male,2020-01-01,Kedah,bumi_malay,814.7
0-4,male,2020-01-01,Kedah,bumi_malay,75.0
5-9,male,2020-01-01,Kedah,bumi_malay,73.5
10-14,male,2020-01-01,Kedah,bumi_malay,67.1
15-19,male,2020-01-01,Kedah,bumi_malay,78.7
20-24,male,2020-01-01,Kedah,bumi_malay,87.0
25-29,male,2020-01-01,Kedah,bumi_malay,73.9
30-34,male,2020-01-01,Kedah,bumi_malay,56.5
35-39,male,2020-01-01,Kedah,bumi_malay,48.0
40-44,male,2020-01-01,Kedah,bumi_malay,44.4
45-49,male,2020-01-01,Kedah,bumi_malay,42.3
50-54,male,2020-01-01,Kedah,bumi_malay,39.9
55-59,male,2020-01-01,Kedah,bumi_malay,37.7
60-64,male,2020-01-01,Kedah,bumi_malay,31.1
65-69,male,2020-01-01,Kedah,bumi_malay,24.8
70-74,male,2020-01-01,Kedah,bumi_malay,16.8
75-79,male,2020-01-01,Kedah,bumi_malay,8.5
80-84,male,2020-01-01,Kedah,bumi_malay,5.6
85+,male,2020-01-01,Kedah,bumi_malay,4.0
overall_age,female,2020-01-01,Kedah,bumi_malay,810.1
0-4,female,2020-01-01,Kedah,bumi_malay,68.0
5-9,female,2020-01-01,Kedah,bumi_malay,69.1
10-14,female,2020-01-01,Kedah,bumi_malay,63.5
15-19,female,2020-01-01,Kedah,bumi_malay,72.5
20-24,female,2020-01-01,Kedah,bumi_malay,81.5
25-29,female,2020-01-01,Kedah,bumi_malay,70.7
30-34,female,2020-01-01,Kedah,bumi_malay,56.5
35-39,female,2020-01-01,Kedah,bumi_malay,52.5
40-44,female,2020-01-01,Kedah,bumi_malay,44.1
